Top pages,Clicks,Impressions,CTR,Position
https://www.uagc.edu/online-degrees/masters,5011,4554489,0.11%,11.61
https://www.uagc.edu/online-degrees/masters/business-administration,2736,594006,0.46%,51.51
https://www.uagc.edu/online-degrees/bachelors,2052,2376917,0.09%,9.43
https://www.uagc.edu/online-degrees/masters/psychology,1733,414024,0.42%,47.95
https://www.uagc.edu/online-degrees/specializations/sport-performance-psychology,1535,117339,1.31%,44.51
https://www.uagc.edu/online-degrees/associate,1407,1467438,0.1%,12.77
https://www.uagc.edu/online-degrees/masters/organizational-management,1338,227667,0.59%,39.5
https://www.uagc.edu/online-degrees/bachelors/instructional-design,1210,114353,1.06%,35.99
https://www.uagc.edu/online-degrees/specializations/standard-doctorate-organizational-development-leadership-program,1164,137985,0.84%,48.67
https://www.uagc.edu/online-degrees/bachelors/cyber-data-security-technology,1105,537610,0.21%,51.37
https://www.uagc.edu/online-degrees/bachelors/nursing,1098,272196,0.4%,58.55
https://www.uagc.edu/online-degrees/masters/health-informatics-analytics,1048,187897,0.56%,61.6
https://www.uagc.edu/online-degrees/bachelors/business-administration,1020,703706,0.14%,36.15
https://www.uagc.edu/online-degrees/bachelors/child-development,959,123544,0.78%,20.43
https://www.uagc.edu/online-degrees/bachelors/human-resources-management,944,483258,0.2%,47.72
https://www.uagc.edu/online-degrees/masters/business-administration-v2,939,104489,0.9%,23.18
https://www.uagc.edu/online-degrees/masters/human-resources-management-v2,925,269906,0.34%,56.64
https://www.uagc.edu/online-degrees/bachelors/organizational-management,892,138760,0.64%,27.74
https://www.uagc.edu/online-degrees/bachelors/operations-management-analysis,827,133743,0.62%,29.51
https://www.uagc.edu/online-degrees/masters/technology-management,824,181465,0.45%,35.77
https://www.uagc.edu/online-degrees/bachelors/psychology,758,292524,0.26%,63.06
https://www.uagc.edu/online-degrees/emphases,739,440507,0.17%,6.29
https://www.uagc.edu/online-degrees/bachelors/health-care-administration,735,350368,0.21%,54.69
https://www.uagc.edu/online-degrees/bachelors/project-management,686,194439,0.35%,39.35
https://www.uagc.edu/online-degrees/masters/human-services,684,101583,0.67%,24.32
https://www.uagc.edu/online-degrees/masters/information-systems-management,645,191228,0.34%,33.01
https://www.uagc.edu/online-degrees/specializations/criminology-justice-studies,643,72562,0.89%,39.53
https://www.uagc.edu/online-degrees/bachelors/early-childhood-education,627,279269,0.22%,50.58
https://www.uagc.edu/online-degrees/bachelors/homeland-security-emergency-management,626,142728,0.44%,39.56
https://www.uagc.edu/online-degrees/masters/health-care-administration,615,187546,0.33%,61.31
https://www.uagc.edu/online-degrees/bachelors/marketing,605,505910,0.12%,39.84
https://www.uagc.edu/online-degrees/masters/finance,604,192805,0.31%,44.62
https://www.uagc.edu/online-degrees/bachelors/computer-software-technology,596,89247,0.67%,37.72
https://www.uagc.edu/online-degrees/bachelors/information-technology,589,332272,0.18%,47.28
https://www.uagc.edu/online-degrees/bachelors/accounting,589,253967,0.23%,48.39
https://www.uagc.edu/online-degrees/masters/psychology-v2,577,205337,0.28%,57.17
https://www.uagc.edu/online-degrees/bachelors/health-information-management,576,162491,0.35%,41.35
https://www.uagc.edu/online-degrees/bachelors/finance,516,193616,0.27%,47.52
https://www.uagc.edu/online-degrees/masters/education,495,116813,0.42%,48.07
https://www.uagc.edu/online-degrees/masters/public-health,493,58216,0.85%,38.42
https://www.uagc.edu/online-degrees/certificates/post-baccalaureate-teaching,490,36302,1.35%,39.66
https://www.uagc.edu/online-degrees/business,473,4319925,0.01%,7.72
https://www.uagc.edu/online-degrees/liberal-arts,468,117997,0.4%,29.22
https://www.uagc.edu/online-degrees/bachelors/applied-behavioral-science,462,173105,0.27%,24.61
https://www.uagc.edu/online-degrees/bachelors/business-leadership,445,99404,0.45%,33.59
https://www.uagc.edu/online-degrees/bachelors/business-information-systems,436,138109,0.32%,39.31
https://www.uagc.edu/online-degrees/bachelors/liberal-arts,430,127676,0.34%,45.87
https://www.uagc.edu/online-degrees/masters/accounting,406,54388,0.75%,48.5
https://www.uagc.edu/online-degrees/masters/criminal-justice,399,116415,0.34%,60.29
https://www.uagc.edu/online-degrees/associate/early-childhood-education,395,107599,0.37%,34.91
https://www.uagc.edu/online-degrees/specializations/health-wellness-psychology,389,46031,0.85%,48.16
https://www.uagc.edu/online-degrees/masters/instructional-design-technology,379,103518,0.37%,48.76
https://www.uagc.edu/online-degrees/masters/human-resource-management,373,138871,0.27%,45.66
https://www.uagc.edu/online-degrees/bachelors/education-studies,371,65703,0.56%,33.69
https://www.uagc.edu/online-degrees/comparison,360,39342,0.92%,17.86
https://www.uagc.edu/online-degrees/bachelors/health-human-services,352,132656,0.27%,45.36
https://www.uagc.edu/online-degrees/masters/early-childhood-education-leadership,349,31101,1.12%,50.82
https://www.uagc.edu/online-degrees/bachelors/criminal-justice,344,95176,0.36%,44.83
https://www.uagc.edu/online-degrees/health-care,329,1984096,0.02%,6.1
https://www.uagc.edu/online-degrees/criminal-justice,328,456552,0.07%,28.33
https://www.uagc.edu/online-degrees/social-behavioral-science,285,364507,0.08%,14.38
https://www.uagc.edu/online-degrees/specializations/standard-doctorate-human-services,271,15399,1.76%,14.26
https://www.uagc.edu/online-degrees/courses/secondary-education-certificate,268,8818,3.04%,13.37
https://www.uagc.edu/online-degrees/education,265,423995,0.06%,7.11
https://www.uagc.edu/online-degrees/bachelors/finance-v2,229,100820,0.23%,50.94
https://www.uagc.edu/online-degrees/emphasis/health-and-wellness,229,43078,0.53%,38.37
https://www.uagc.edu/online-degrees/emphasis/artificial-intelligence,225,8486,2.65%,18.92
https://www.uagc.edu/online-degrees/emphasis/supply-chain-management,219,32281,0.68%,60.05
https://www.uagc.edu/online-degrees/information-technology,215,402637,0.05%,12.45
https://www.uagc.edu/online-degrees/bachelors/sociology,211,103258,0.2%,58.09
https://www.uagc.edu/online-degrees/emphasis/real-estate-studies,210,47929,0.44%,46.57
https://www.uagc.edu/online-degrees/specializations/organizational-leadership,203,13473,1.51%,45.17
https://www.uagc.edu/online-degrees/bachelors/early-childhood-education-administration,195,19073,1.02%,29.7
https://www.uagc.edu/online-degrees/masters/special-education,191,53328,0.36%,55.48
https://www.uagc.edu/online-degrees/bachelors/psychology-v2,164,14973,1.1%,24.12
https://www.uagc.edu/online-degrees/program-disclosures,161,5833,2.76%,26.81
https://www.uagc.edu/online-degrees/bachelors/early-childhood-development-differentiated-instruction,158,40259,0.39%,57.12
https://www.uagc.edu/online-degrees/emphasis/political-science-and-government,154,10575,1.46%,29.19
https://www.uagc.edu/online-degrees/emphasis/drone-and-unmanned-aerial-vehicle-entrepreneurship,150,12600,1.19%,52.73
https://www.uagc.edu/online-degrees/emphasis/sports-and-recreation,148,8780,1.69%,37.47
https://www.uagc.edu/online-degrees/specializations/curriculum-instruction-desc,145,4726,3.07%,31.24
https://www.uagc.edu/online-degrees/bachelors/early-childhood-education-v2,130,63901,0.2%,58.1
https://www.uagc.edu/online-degrees/emphasis/strategic-communication,121,4236,2.86%,42.27
https://www.uagc.edu/online-degrees/emphasis/integrating-drones-in-a-cybersecurity-infrastructure,113,16146,0.7%,34.03
https://www.uagc.edu/online-degrees/courses/freshman-experience,113,2687,4.21%,37.29
https://www.uagc.edu/online-degrees/find-your-degree,104,98079,0.11%,9.72
https://www.uagc.edu/online-degrees/emphasis/homeland-security-and-emergency-management,100,35277,0.28%,66.29
https://www.uagc.edu/online-degrees/emphasis/environmental-management-sustainability,96,21416,0.45%,47.1
https://www.uagc.edu/online-degrees/specializations/project-management-mism,95,9551,0.99%,39.58
https://www.uagc.edu/online-degrees/emphasis/history,87,5950,1.46%,29.35
https://www.uagc.edu/online-degrees/specializations/special-education,82,4325,1.9%,16.65
https://www.uagc.edu/online-degrees/specializations/criminology-justice-studies-desc,80,5856,1.37%,21.88
https://www.uagc.edu/online-degrees/emphasis/journalism,71,22713,0.31%,56.77
https://www.uagc.edu/online-degrees/emphasis/public-administration,67,43123,0.16%,69.85
https://www.uagc.edu/online-degrees/emphasis/web-mobile-app-technology,65,23521,0.28%,37.78
https://www.uagc.edu/online-degrees/specializations/standard-doctorate-organizational-development-leadership-program-desc,64,3692,1.73%,50.94
https://www.uagc.edu/online-degrees/emphasis/public-relations,63,19398,0.32%,53.3
https://www.uagc.edu/online-degrees/emphasis/criminal-justice-drone-pilot,62,3718,1.67%,33.23
https://www.uagc.edu/online-degrees/specializations/business-economics,59,8533,0.69%,45.37
https://www.uagc.edu/online-degrees/emphasis/cognitive-studies,57,6212,0.92%,32.1
https://www.uagc.edu/online-degrees/specializations/early-childhood-education-desc,57,3035,1.88%,17.07
https://www.uagc.edu/online-degrees/courses/elementary-education-certificate,56,7006,0.8%,34.1
https://www.uagc.edu/online-degrees/specializations/business-intelligence,55,53016,0.1%,54.1
https://www.uagc.edu/online-degrees/associate/business,55,10008,0.55%,31.07
https://www.uagc.edu/online-degrees/associate/military-studies,55,5934,0.93%,16.5
https://www.uagc.edu/online-degrees/specializations/curriculum-instruction,53,3451,1.54%,46.21
https://www.uagc.edu/online-degrees/find-your-degree/analyst,52,1337,3.89%,13.78
https://www.uagc.edu/online-degrees/specializations/standard-master-human-services,46,17769,0.26%,67.45
https://www.uagc.edu/online-degrees/emphasis/entrepreneurship,45,7330,0.61%,32.96
https://www.uagc.edu/online-degrees/emphasis/financial-planning,44,5776,0.76%,39.98
https://www.uagc.edu/online-degrees/specializations/homeland-security,41,31692,0.13%,78.14
https://www.uagc.edu/online-degrees/emphasis/english,39,1855,2.1%,14.15
https://www.uagc.edu/online-degrees/find-your-degree/educator,36,2729,1.32%,7.29
https://www.uagc.edu/online-degrees/specializations/law-enforcement-corrections-administration,35,5390,0.65%,53.71
https://www.uagc.edu/online-degrees/specializations/higher-education,35,3131,1.12%,39.26
https://www.uagc.edu/online-degrees/courses/master-of-public-health-generalist-track,32,2028,1.58%,20.89
https://www.uagc.edu/online-degrees/specializations/early-childhood-education,31,3803,0.82%,21.09
https://www.uagc.edu/online-degrees/courses/master-of-public-health-health-care-administration-track,31,3286,0.94%,30.4
https://www.uagc.edu/online-degrees/associate/organizational-management,30,2574,1.17%,13.24
https://www.uagc.edu/online-degrees/emphasis/health-and-wellness-desc,28,7028,0.4%,61.58
https://www.uagc.edu/online-degrees/emphasis/business-economics,28,2770,1.01%,22.36
https://www.uagc.edu/online-degrees/specializations/standard-mateaching-learning-with-technology,27,3275,0.82%,45.51
https://www.uagc.edu/online-degrees/specializations/accounting,27,3091,0.87%,36.02
https://www.uagc.edu/online-degrees/emphasis/public-health,26,3211,0.81%,17.2
https://www.uagc.edu/online-degrees/emphasis/english-desc,24,754,3.18%,24.04
https://www.uagc.edu/online-degrees/specializations/it-organizational-management-and-leadership,23,2789,0.82%,25.28
https://www.uagc.edu/online-degrees/emphasis/drone-and-unmanned-aerial-vehicle-marketing,21,5255,0.4%,31.49
https://www.uagc.edu/online-degrees/find-your-degree/nurturer,17,4708,0.36%,11.93
https://www.uagc.edu/online-degrees/associate-v8,14,5816,0.24%,30.18
https://www.uagc.edu/online-degrees/emphasis/health-care,12,2313,0.52%,11
https://www.uagc.edu/online-degrees/specializations/homeland-security-desc,12,1120,1.07%,27.76
https://www.uagc.edu/online-degrees/find-your-degree/entrepreneur,11,1674,0.66%,42.67
https://www.uagc.edu/online-degrees/specializations/business-intelligence-desc,9,1115,0.81%,52.43
https://www.uagc.edu/online-degrees/specializations/health-wellness-psychology-desc,9,845,1.07%,25.76
https://www.uagc.edu/online-degrees/specializations/law-enforcement-corrections-administration-desc,9,573,1.57%,38.14
https://www.uagc.edu/online-degrees/specializations/standard-master-human-services-desc,8,1572,0.51%,42.67
https://www.uagc.edu/online-degrees/specializations/early-intervention,7,644,1.09%,58.06
https://www.uagc.edu/online-degrees/associate-v7,6,5684,0.11%,45.54
https://www.uagc.edu/online-degrees/emphasis/public-relations-desc,6,120,5%,20.39
https://www.uagc.edu/online-degrees/specializations/early-learning,5,280,1.79%,11.94
https://www.uagc.edu/online-degrees/emphasis/financial-planning-desc,4,51,7.84%,15.37
https://www.uagc.edu/online-degrees/specializations/early-intervention-desc,2,581,0.34%,72.92
https://www.uagc.edu/online-degrees/masters/human-resources-management,2,178,1.12%,24.72
https://www.uagc.edu/online-degrees/associate/organizational-management?sourceid=ADE219,2,82,2.44%,14.05
https://www.uagc.edu/online-degrees/associate/military-studies?sourceid=19aulidcp,1,794,0.13%,4.78
https://www.uagc.edu/online-degrees/specializations/accounting-desc,1,337,0.3%,10.68
https://www.uagc.edu/online-degrees/associate/business?sourceid=19aulidcp,1,247,0.4%,55.09
https://www.uagc.edu/online-degrees/courses/military-studies,1,90,1.11%,8.19
https://www.uagc.edu/online-degrees/associate/organizational-management?sourceid=ORGSOC&utm_source=linkedin&utm_medium=organicsocial&utm_campaign=button,0,233,0%,8.97
https://www.uagc.edu/online-degrees/associate-v8?chat=default,0,229,0%,64.21
https://www.uagc.edu/online-degrees/specializations/higher-education-desc,0,121,0%,17.93
https://www.uagc.edu/online-degrees/emphasis/financial-planning-desc?chat=default,0,6,0%,20.33
https://www.uagc.edu/online-degrees/associate/early-childhood-education/,0,1,0%,1
https://www.uagc.edu/online-degrees/emphases/,0,1,0%,1
https://www.uagc.edu/online-degrees/masters/organizational-management),0,1,0%,1
https://www.uagc.edu/online-degrees/certificates,0,1,0%,4
