Date,Poor,Need improvement,Good
2025-04-23,527,717,56
2025-04-24,530,703,56
2025-04-25,526,708,56
2025-04-26,536,725,56
2025-04-27,543,732,56
2025-04-28,543,736,56
2025-04-29,539,740,56
2025-04-30,517,716,56
2025-05-01,482,692,56
2025-05-02,475,688,56
2025-05-03,604,561,56
2025-05-04,655,573,56
2025-05-05,645,566,56
2025-05-06,651,588,34
2025-05-07,638,572,56
2025-05-08,655,570,56
2025-05-09,659,564,64
2025-05-10,661,589,52
2025-05-11,605,652,52
2025-05-12,713,512,52
2025-05-13,476,672,52
2025-05-14,468,667,52
2025-05-15,677,519,30
2025-05-16,558,623,30
2025-05-17,548,624,22
2025-05-18,541,617,22
2025-05-19,466,690,22
2025-05-20,538,606,22
2025-05-21,642,495,22
2025-05-22,584,571,32
2025-05-23,609,577,32
2025-05-24,654,588,32
2025-05-25,664,592,31
2025-05-26,512,735,31
2025-05-27,497,730,31
2025-05-28,509,722,45
2025-05-29,522,734,45
2025-05-30,523,742,31
2025-05-31,520,745,31
2025-06-01,470,688,53
2025-06-02,468,686,53
2025-06-03,505,712,53
2025-06-04,529,732,53
2025-06-05,548,739,53
2025-06-06,545,754,53
2025-06-07,551,765,53
2025-06-08,553,769,54
2025-06-09,551,771,54
2025-06-10,550,755,54
2025-06-11,530,744,54
2025-06-12,547,753,54
2025-06-13,547,764,44
2025-06-14,501,731,44
2025-06-15,387,841,65
2025-06-16,536,767,44
2025-06-17,511,750,44
2025-06-18,525,761,44
2025-06-19,537,766,44
2025-06-20,109,1185,44
2025-06-21,106,1181,44
2025-06-22,108,1159,44
2025-06-23,512,746,44
2025-06-24,509,745,44
2025-06-25,509,745,44
2025-06-26,518,748,44
2025-06-27,509,754,44
2025-06-28,519,756,44
2025-06-29,510,758,44
2025-06-30,683,575,44
2025-07-01,379,749,159
2025-07-02,486,730,55
2025-07-03,628,539,55
2025-07-04,571,589,55
2025-07-05,588,591,55
2025-07-06,579,586,55
2025-07-07,590,588,44
2025-07-08,634,628,44
2025-07-09,655,640,44
2025-07-10,497,728,119
2025-07-11,464,680,118
2025-07-12,409,634,126
2025-07-13,374,593,121
2025-07-14,366,642,58
2025-07-15,362,636,58
2025-07-16,364,640,58
2025-07-17,364,662,58
2025-07-18,369,653,65
2025-07-19,376,694,34
2025-07-20,490,577,34
2025-07-21,499,581,34
